Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
0.04	-0.68	0.04	17.37	0.04	0	0.04	3	0.04	0	79.0285	"T1"	0	"Manual Run 12/13/2023 6:24:26 PM +00:00 Result: /DefaultHome/Felipe/20231213_JB6_1_69_15N_R1 User Default at computer DESKTOP-8L29TUR is in control (Manual)"	
0.24	-0.3198856	0.24	17.37	0.24	0	0.24	3	0.24	0	79.5786	"T2"	0	"Instrument information:SystemName = ( 00000000000002052751), FW Version = ( V2.01.29 )"	
0.44	-0.07001663	0.44	17.37	0.44	0	0.44	3	0.44	0	84.5797	"T3"	0.04	"SampleValve Buffer"	
0.64	-0.45	0.64	17.37	0.64	0	0.64	3	0.64	0.03	89.5908	"T4"	0.7699	"Pause Infinite min 12/13/2023 6:24:48 PM +00:00"	
0.84	-0.4	0.84	17.37	0.84	0	0.84	3	0.84	0.04	94.5918	"T5"	0.8099	"Pause Infinite min 12/13/2023 6:24:49 PM +00:00"	
1.04	-0.1206765	1.04	17.37	1.04	0	1.04	3	1.04	0.05	99.5829	"T6"	0.8099	"Continue 12/13/2023 6:25:04 PM +00:00"	
1.24	0.448601	1.24	17.37	1.24	0	1.24	3	1.24	0.04	104.584	"T7"	0.8399	"SampleValve Sample"	
1.44	1.12	1.44	17.36	1.44	0	1.44	3	1.44	0.05	109.5951	"T8"	0.8399	"WashValve Column"	
1.64	1.61	1.64	17.36	1.64	0	1.64	3	1.64	0.05	114.5961	"T9"	4.0199	"Pause Infinite min 12/13/2023 6:26:08 PM +00:00"	
1.84	1.74	1.84	17.35	1.84	0	1.84	3	1.84	0.05	119.6072	"T10"	4.0599	"Pause Infinite min 12/13/2023 6:26:09 PM +00:00"	
2.04	1.550998	2.04	17.35	2.04	0	2.04	3	2.04	0.05	124.5883	"T11"	4.0599	"Continue 12/13/2023 6:26:16 PM +00:00"	
2.24	1.260745	2.24	17.35	2.24	0	2.24	3	2.24	0.05	129.5977	"T12"	78.8784	"Pause Infinite min 12/13/2023 6:51:13 PM +00:00"	
2.44	1.050412	2.44	17.34	2.44	0	2.44	3	2.44	0.05	134.595	"T13"	78.9084	"Pause Infinite min 12/13/2023 6:51:14 PM +00:00"	
2.639	0.98	2.639	17.34	2.639	0	2.639	3	2.639	0.05	139.6023	"T14"	78.9084	"Continue 12/13/2023 6:51:32 PM +00:00"	
2.839	1.03	2.839	17.35	2.839	0	2.839	3	2.839	0.05	144.5795	"T15"	78.9384	"SampleValve Buffer"	
3.039	1.11	3.039	17.35	3.039	0	3.039	3	3.039	0.05	149.6068	"T16"	79.4785	"Pause Infinite min 12/13/2023 6:51:44 PM +00:00"	
3.239	1.589735	3.239	17.36	3.239	0	3.239	3	3.239	0.05	154.584	"T17"	79.5085	"Pause Infinite min 12/13/2023 6:51:45 PM +00:00"	
3.439	6.848897	3.439	17.36	3.439	0	3.439	3	3.439	0.05	159.5913	"T18"	79.5085	"Fractionation 5.0 {ml}"	
